no_a,no_b,peso
CUDA C/C++,F#,0.2716
D,Elm,0.2715
GDScript,"PL/SQL,",0.2714
Python,Scheme,0.2713
R,Smalltalk (Pharo),0.2713
VBA,Zig,0.2713
LabVIEW,"PL/SQL,",0.2711
Java,VHDL,0.271
Elixir,MATLAB,0.271
APL,Ruby,0.2708
Crystal,OpenCL,0.2708
TypeScript,Verilog,0.2708
"PL/pgSQL,",Zig,0.2708
OpenCL,Swift,0.2708
OpenCL,Visual Basic .NET,0.2708
HCL (Terraform),Solidity,0.2708
CUDA C/C++,TypeScript,0.2708
SystemVerilog,TypeScript,0.2708
NATURAL,TypeScript,0.2708
OCaml,OpenCL,0.2708
Erlang,R,0.2707
F#,GraphQL,0.2705
LabVIEW,"Transact-SQL, (T-SQL,)",0.2696
Clojure,MATLAB,0.2696
OCaml,R,0.2695
GraphQL,Scala,0.2695
AWK,Stata,0.2694
"CommonLisp,",Mojo,0.2694
Groovy,Julia,0.2694
F#,VBA,0.269
F#,Visual Basic .NET,0.269
"CommonLisp,",Elixir,0.2689
HCL (Terraform),LabVIEW,0.2688
Elm,LabVIEW,0.2683
Java,VBA,0.2683
Java,Visual Basic .NET,0.2683
LabVIEW,MQL5,0.2682
Haskell,MQL5,0.2682
LabVIEW,X++,0.2681
F#,SystemVerilog,0.2679
"Delphi (Object Pascal,)",Haskell,0.2679
Java,SystemVerilog,0.2679
Go,TypeScript,0.2679
Haskell,Haxe,0.2677
MATLAB,Python,0.2676
Groovy,Stata,0.2672
R,Scala,0.2671
F#,LabVIEW,0.2671
C++,OpenCL,0.267
"SQL,",X++,0.2669
C#,LabVIEW,0.2667
HCL (Terraform),OpenCL,0.2667
D,Lua,0.2664
LabVIEW,Scala,0.2663
Haxe,LabVIEW,0.2662
Ada 2022,RPG,0.2661
Lua,Mojo,0.266
Ada 2022,C#,0.2657
APL,"CommonLisp,",0.2656
GDScript,"Transact-SQL, (T-SQL,)",0.2656
PL/I,TypeScript,0.2656
CUDA C/C++,Haskell,0.2656
C#,"Fortran,",0.2655
GraphQL,LabVIEW,0.2655
C#,VHDL,0.2655
C++,Zig,0.2653
Crystal,GDScript,0.2652
C++,Swift,0.2651
Groovy,Prolog,0.2651
Groovy,Scheme,0.2649
Elixir,Mojo,0.2649
Java,Nim,0.2649
CUDA C/C++,"Delphi (Object Pascal,)",0.2645
C#,Go,0.2643
Apex,Haskell,0.2641
Haskell,"SQL,",0.2641
C#,OCaml,0.264
GDScript,Swift,0.2639
MATLAB,Racket,0.2639
Elm,MQL5,0.2638
"Delphi (Object Pascal,)",Elm,0.2637
Smalltalk (Pharo),Stata,0.2634
C++,Objective-C,0.2633
GDScript,Lua,0.2633
LabVIEW,OpenCL,0.2633
Haskell,Solidity,0.2633
MQL5,"SQL,",0.2632
"Delphi (Object Pascal,)","SQL,",0.2631
Objective-C,Rust,0.2629
Haxe,"SQL,",0.2629
SAS,Smalltalk (Pharo),0.2628
Java,LabVIEW,0.2626
LabVIEW,Verilog,0.2625
Mojo,TypeScript,0.2625
Haskell,NATURAL,0.2625
SAS,Scheme,0.2625
Erlang,Groovy,0.2624
Haskell,Verilog,0.2624
GraphQL,X++,0.2623
"Fortran,",Julia,0.2623
C#,"SQL,",0.2622
C++,Dart,0.2621
D,Scheme,0.2621
LabVIEW,Rust,0.262
Assembly (x86),Objective-C,0.2619
Dart,LabVIEW,0.2618
Prolog,Smalltalk (Pharo),0.2617
"Delphi (Object Pascal,)",NATURAL,0.2616
Mojo,Racket,0.2616
Prolog,Scheme,0.2615
CUDA C/C++,"SQL,",0.2613
Prolog,Racket,0.2611
D,Wolfram Language,0.261
Prolog,"SQL,",0.2609
Erlang,Stata,0.2609
Elm,"SQL,",0.2607
Apex,Elm,0.2607
PowerShell,SAS,0.2605
Erlang,SAS,0.2604
Perl,Wolfram Language,0.2603
Apex,"SQL,",0.2603
"PL/pgSQL,",Q (kdb+),0.2603
Solidity,"SQL,",0.2597
Go,Nim,0.2597
SAS,"SQL,",0.2597
PowerShell,Prolog,0.2596
Haskell,X++,0.2596
Elm,NATURAL,0.2596
Elm,Verilog,0.2595
Tcl,Wolfram Language,0.2593
"SQL,",Verilog,0.2591
Java,"SQL,",0.2591
C,Crystal,0.2589
Haskell,OpenCL,0.2588
Assembly (x86),Nim,0.2588
Rust,"SQL,",0.2587
Clojure,Scala,0.2586
Dart,"SQL,",0.2586
AWK,JavaScript,0.2585
Groovy,Mojo,0.2583
Groovy,Java,0.2583
Ada 2022,D,0.258
GAMS,Haxe,0.2574
Clojure,F#,0.2573
Elm,X++,0.2573
D,NATURAL,0.2571
Haskell,RPG,0.257
Haxe,VHDL,0.2568
Haxe,Zig,0.2567
MQL5,RPG,0.2566
"Delphi (Object Pascal,)",RPG,0.2565
Go,Haxe,0.2564
OpenCL,"SQL,",0.2564
Haxe,HCL (Terraform),0.2563
Haxe,HiveQL (Apache Hive),0.2563
PowerShell,X++,0.2561
GraphQL,Haxe,0.256
C#,RPG,0.256
"COBOL,",Haskell,0.256
Haxe,OCaml,0.2559
Mojo,OCaml,0.2559
Objective-C,Smalltalk (Pharo),0.2558
CUDA C/C++,RPG,0.2556
ABAP,Haskell,0.2555
Groovy,Solidity,0.2554
Haxe,PL/I,0.2554
Elm,RPG,0.2553
Ada 2022,Haxe,0.2552
GAMS,Haskell,0.2552
Apex,RPG,0.2551
Dart,Groovy,0.255
ABAP,GAMS,0.255
Haxe,RPG,0.2549
GAMS,MQL5,0.2549
"COBOL,",D,0.2549
RPG,Solidity,0.2548
"Delphi (Object Pascal,)",GAMS,0.2548
Haskell,VHDL,0.2548
Ada 2022,Mojo,0.2548
Crystal,Haskell,0.2548
JavaScript,Tcl,0.2548
Groovy,MATLAB,0.2547
"COBOL,",HCL (Terraform),0.2547
ABAP,D,0.2545
RPG,Verilog,0.2545
"Delphi (Object Pascal,)",VHDL,0.2545
"COBOL,",Elm,0.2545
MQL5,VHDL,0.2545
Go,Haskell,0.2545
Java,RPG,0.2545
OpenCL,RPG,0.2545
C#,GAMS,0.2545
GAMS,VHDL,0.2544
Haskell,HCL (Terraform),0.2544
Haskell,HiveQL (Apache Hive),0.2544
Crystal,GAMS,0.2544
Dart,RPG,0.2543
F#,GAMS,0.2543
GAMS,Zig,0.2543
RPG,Rust,0.2543
"COBOL,",Mojo,0.2543
GAMS,Swift,0.2543
PowerShell,Tcl,0.2543
GraphQL,Haskell,0.2543
HiveQL (Apache Hive),MQL5,0.2542
CUDA C/C++,GAMS,0.2542
HCL (Terraform),MQL5,0.2542
Groovy,Q (kdb+),0.2542
Haskell,VBA,0.2541
"Delphi (Object Pascal,)",HCL (Terraform),0.2541
Haskell,Visual Basic .NET,0.2541
GAMS,Go,0.2541
"Delphi (Object Pascal,)",HiveQL (Apache Hive),0.2541
GAMS,Scala,0.2541
ABAP,GraphQL,0.2541
ABAP,Mojo,0.254
ABAP,"SQL,",0.254
"Delphi (Object Pascal,)",GraphQL,0.254
GraphQL,MQL5,0.254
Swift,VHDL,0.254
Elm,GAMS,0.254
Crystal,CUDA C/C++,0.2539
GDScript,MQL5,0.2539
CUDA C/C++,VHDL,0.2539
CUDA C/C++,Swift,0.2538
C#,HCL (Terraform),0.2538
Crystal,HiveQL (Apache Hive),0.2538
Crystal,HCL (Terraform),0.2538
C#,HiveQL (Apache Hive),0.2538
HCL (Terraform),VHDL,0.2538
"COBOL,",Verilog,0.2538
Apex,GAMS,0.2538
Haskell,PL/I,0.2538
"Delphi (Object Pascal,)",OCaml,0.2538
GAMS,OCaml,0.2538
HCL (Terraform),Zig,0.2537
F#,HCL (Terraform),0.2537
C#,GraphQL,0.2537
MATLAB,Smalltalk (Pharo),0.2537
Lua,Prolog,0.2537
Elm,VHDL,0.2537
GAMS,VBA,0.2537
HiveQL (Apache Hive),Zig,0.2537
HCL (Terraform),Swift,0.2537
GAMS,Visual Basic .NET,0.2537
HiveQL (Apache Hive),VHDL,0.2537
Ada 2022,Haskell,0.2537
HiveQL (Apache Hive),Swift,0.2537
GraphQL,Zig,0.2536
GraphQL,VHDL,0.2536
CUDA C/C++,HiveQL (Apache Hive),0.2536
Apex,Mojo,0.2536
C++,Verilog,0.2536
"CommonLisp,",Q (kdb+),0.2536
Crystal,GraphQL,0.2536
MATLAB,Prolog,0.2536
GAMS,Solidity,0.2536
Go,HCL (Terraform),0.2536
Crystal,"SQL,",0.2535
Elm,Go,0.2535
GAMS,PL/I,0.2535
VBA,VHDL,0.2535
Apex,VHDL,0.2535
Haskell,LabVIEW,0.2535
Apex,Zig,0.2535
ABAP,Verilog,0.2535
"Fortran,",Haskell,0.2535
"Fortran,",Mojo,0.2535
"Fortran,",Groovy,0.2535
"SQL,",Zig,0.2535
GraphQL,Swift,0.2535
"Delphi (Object Pascal,)",PL/I,0.2535
HCL (Terraform),Scala,0.2535
Go,HiveQL (Apache Hive),0.2535
RPG,X++,0.2535
Prolog,R,0.2535
Prolog,Python,0.2535
"SQL,",VHDL,0.2535
VHDL,Visual Basic .NET,0.2535
GAMS,Kotlin,0.2535
CUDA C/C++,GraphQL,0.2534
Ruby,SAS,0.2534
Ada 2022,GAMS,0.2534
"SQL,",Swift,0.2534
F#,Mojo,0.2534
Elm,HiveQL (Apache Hive),0.2534
GAMS,Java,0.2534
Go,GraphQL,0.2534
Apex,HCL (Terraform),0.2533
GDScript,Smalltalk (Pharo),0.2533
"Delphi (Object Pascal,)",LabVIEW,0.2533
GAMS,Verilog,0.2533
Q (kdb+),Smalltalk (Pharo),0.2533
Go,"SQL,",0.2533
CUDA C/C++,Visual Basic .NET,0.2533
Go,Visual Basic .NET,0.2533
Solidity,VHDL,0.2533
Apex,Go,0.2533
JavaScript,Rexx,0.2533
Go,VBA,0.2533
HCL (Terraform),VBA,0.2532
HiveQL (Apache Hive),Visual Basic .NET,0.2532
Kotlin,VHDL,0.2532
GAMS,Rust,0.2532
HCL (Terraform),Visual Basic .NET,0.2532
HiveQL (Apache Hive),OCaml,0.2532
HCL (Terraform),OCaml,0.2532
Mojo,Scheme,0.2532
Dart,GAMS,0.2532
Elm,GraphQL,0.2532
Mojo,R,0.2532
Julia,SAS,0.2532
Apex,HiveQL (Apache Hive),0.2532
HiveQL (Apache Hive),VBA,0.2532
Q (kdb+),Scheme,0.2532
PL/I,Swift,0.2531
GraphQL,OCaml,0.2531
NATURAL,Swift,0.2531
HiveQL (Apache Hive),Solidity,0.2531
Prolog,Ruby,0.2531
NATURAL,VHDL,0.2531
Q (kdb+),Racket,0.2531
Crystal,NATURAL,0.2531
Apex,GraphQL,0.2531
Crystal,Verilog,0.2531
Elm,VBA,0.2531
Elm,Visual Basic .NET,0.2531
"SQL,",Visual Basic .NET,0.253
HiveQL (Apache Hive),PL/I,0.253
OCaml,"SQL,",0.253
"Fortran,",VHDL,0.253
Crystal,LabVIEW,0.253
Elixir,Prolog,0.253
HCL (Terraform),Kotlin,0.253
HCL (Terraform),PL/I,0.253
HiveQL (Apache Hive),Kotlin,0.253
F#,Verilog,0.253
"SQL,",VBA,0.253
LabVIEW,Zig,0.253
Apex,OCaml,0.253
Swift,Verilog,0.253
LabVIEW,VHDL,0.253
Scala,Verilog,0.2529
Julia,Prolog,0.2529
HCL (Terraform),Java,0.2529
Dart,VHDL,0.2529
HCL (Terraform),NATURAL,0.2529
Elm,Julia,0.2529
Elixir,Racket,0.2529
Mojo,Wolfram Language,0.2529
Ada 2022,HCL (Terraform),0.2529
Elm,PL/I,0.2529
HiveQL (Apache Hive),Java,0.2529
GraphQL,Solidity,0.2529
LabVIEW,Swift,0.2529
Ada 2022,HiveQL (Apache Hive),0.2529
HiveQL (Apache Hive),Verilog,0.2529
HCL (Terraform),Verilog,0.2529
Q (kdb+),Ruby,0.2529
GraphQL,PL/I,0.2528
GraphQL,Java,0.2528
Ada 2022,GraphQL,0.2528
Kotlin,"SQL,",0.2528
PL/I,"SQL,",0.2528
Julia,Q (kdb+),0.2528
Go,LabVIEW,0.2528
Dart,HiveQL (Apache Hive),0.2527
Ada 2022,VBA,0.2527
Dart,HCL (Terraform),0.2527
HiveQL (Apache Hive),Rust,0.2527
JavaScript,Perl,0.2527
PowerShell,Q (kdb+),0.2527
HCL (Terraform),Rust,0.2527
Erlang,Q (kdb+),0.2527
Ada 2022,Visual Basic .NET,0.2527
Ada 2022,"SQL,",0.2527
Elm,"Fortran,",0.2527
Ada 2022,Apex,0.2527
"Fortran,",HCL (Terraform),0.2527
Forth,Rexx,0.2527
"Fortran,",HiveQL (Apache Hive),0.2527
GraphQL,Verilog,0.2527
"Fortran,",GraphQL,0.2526
GAMS,X++,0.2526
Dart,GraphQL,0.2526
LabVIEW,Visual Basic .NET,0.2526
GraphQL,Rust,0.2526
LabVIEW,OCaml,0.2526
"Fortran,",OCaml,0.2526
"Fortran,","SQL,",0.2525
Kotlin,LabVIEW,0.2524
Kotlin,PowerShell,0.2524
Kotlin,Verilog,0.2524
VHDL,X++,0.2524
LabVIEW,PL/I,0.2524
Ada 2022,"Fortran,",0.2523
Ada 2022,LabVIEW,0.2523
"Fortran,",NATURAL,0.2523
C++,"CommonLisp,",0.2522
HCL (Terraform),X++,0.2522
"Fortran,",LabVIEW,0.2522
GDScript,X++,0.2521
CUDA C/C++,Mojo,0.2506
PowerShell,Scala,0.2501
Java,"Transact-SQL, (T-SQL,)",0.25
Java,"PL/SQL,",0.25
HiveQL (Apache Hive),SystemVerilog,0.25
Ada 2022,"PL/SQL,",0.25
Ada 2022,"PL/pgSQL,",0.25
HiveQL (Apache Hive),RPG,0.25
CUDA C/C++,"Transact-SQL, (T-SQL,)",0.25
F#,RPG,0.25
"PL/SQL,",X++,0.25
"PL/SQL,",Verilog,0.25
HiveQL (Apache Hive),TypeScript,0.25
Scala,"Transact-SQL, (T-SQL,)",0.25
F#,"PL/SQL,",0.25
OpenCL,"Transact-SQL, (T-SQL,)",0.25
Dart,"PL/SQL,",0.25
Kotlin,"PL/pgSQL,",0.25
Ada 2022,SystemVerilog,0.25
"Delphi (Object Pascal,)","Transact-SQL, (T-SQL,)",0.25
"PL/pgSQL,",Rust,0.25
"Transact-SQL, (T-SQL,)",TypeScript,0.25
"SQL,",TypeScript,0.25
"SQL,","Transact-SQL, (T-SQL,)",0.25
"SQL,",SystemVerilog,0.25
"PL/SQL,",TypeScript,0.25
"PL/SQL,",Swift,0.25
GraphQL,RPG,0.25
GraphQL,OpenCL,0.25
GAMS,"PL/SQL,",0.25
"PL/pgSQL,",TypeScript,0.25
"PL/pgSQL,",Solidity,0.25
"PL/pgSQL,",Swift,0.25
GAMS,SystemVerilog,0.25
Solidity,"Transact-SQL, (T-SQL,)",0.25
C#,"Transact-SQL, (T-SQL,)",0.25
C#,"PL/SQL,",0.25
OpenCL,"PL/SQL,",0.25
OpenCL,"PL/pgSQL,",0.25
GAMS,TypeScript,0.25
GAMS,"Transact-SQL, (T-SQL,)",0.25
HCL (Terraform),"Transact-SQL, (T-SQL,)",0.25
Kotlin,"Transact-SQL, (T-SQL,)",0.25
HCL (Terraform),RPG,0.25
HCL (Terraform),TypeScript,0.25
Elm,"Transact-SQL, (T-SQL,)",0.25
LabVIEW,TypeScript,0.25
Kotlin,RPG,0.25
Kotlin,"PL/SQL,",0.25
Swift,"Transact-SQL, (T-SQL,)",0.25
Crystal,RPG,0.25
Crystal,"PL/pgSQL,",0.25
Elm,SystemVerilog,0.25
CUDA C/C++,"PL/SQL,",0.25
Ada 2022,"Transact-SQL, (T-SQL,)",0.25
"Delphi (Object Pascal,)","PL/SQL,",0.25
LabVIEW,SystemVerilog,0.25
CUDA C/C++,"PL/pgSQL,",0.25
"PL/pgSQL,",Verilog,0.25
HiveQL (Apache Hive),"PL/SQL,",0.25
HiveQL (Apache Hive),OpenCL,0.25
Haxe,"Transact-SQL, (T-SQL,)",0.25
HCL (Terraform),"PL/SQL,",0.25
HCL (Terraform),SystemVerilog,0.25
"Delphi (Object Pascal,)","PL/pgSQL,",0.25
RPG,Scala,0.25
Haskell,"Transact-SQL, (T-SQL,)",0.25
GAMS,OpenCL,0.25
Go,RPG,0.25
"PL/SQL,","SQL,",0.25
"PL/SQL,",Solidity,0.25
"PL/SQL,",Scala,0.25
"PL/SQL,",Rust,0.25
MQL5,"PL/SQL,",0.25
Elm,"PL/SQL,",0.25
GraphQL,"PL/SQL,",0.25
GraphQL,TypeScript,0.25
GraphQL,"Transact-SQL, (T-SQL,)",0.25
GraphQL,SystemVerilog,0.25
APL,Smalltalk (Pharo),0.25
Elm,"PL/pgSQL,",0.25
"Transact-SQL, (T-SQL,)",X++,0.25
RPG,TypeScript,0.25
RPG,SystemVerilog,0.25
Crystal,"PL/SQL,",0.25
Haskell,"PL/SQL,",0.25
Haskell,"PL/pgSQL,",0.25
MQL5,"PL/pgSQL,",0.25
Crystal,"Transact-SQL, (T-SQL,)",0.25
APL,Groovy,0.25
Rust,"Transact-SQL, (T-SQL,)",0.25
Haskell,SystemVerilog,0.25
MQL5,"Transact-SQL, (T-SQL,)",0.25
NATURAL,SystemVerilog,0.25
APL,Racket,0.25
RPG,VHDL,0.25
Haxe,"PL/pgSQL,",0.25
"Transact-SQL, (T-SQL,)",VHDL,0.25
"Fortran,","Transact-SQL, (T-SQL,)",0.25
"Transact-SQL, (T-SQL,)",Verilog,0.25
RPG,Swift,0.25
Go,"PL/pgSQL,",0.25
GDScript,SystemVerilog,0.25
"Fortran,","PL/SQL,",0.25
"Fortran,","PL/pgSQL,",0.25
TypeScript,VHDL,0.25
Dart,"Transact-SQL, (T-SQL,)",0.25
Dart,"PL/pgSQL,",0.25
AWK,SAS,0.2487
GDScript,Ruby,0.2484
Crystal,Mojo,0.2482
Python,VHDL,0.2469
Crystal,D,0.2461
D,Objective-C,0.2455
D,OCaml,0.2449
D,OpenCL,0.2447
Mojo,NATURAL,0.2444
Groovy,X++,0.2443
"CommonLisp,",TypeScript,0.2439
CFML (ColdFusion),Groovy,0.2439
MQL5,Objective-C,0.2435
Q (kdb+),"SQL,",0.2427
C++,Ruby,0.2425
Crystal,Smalltalk (Pharo),0.2424
Perl,Ruby,0.2421
Clojure,Mojo,0.2416
C++,Lua,0.2411
Julia,Rust,0.241
C++,Python,0.2409
C++,Racket,0.2409
Assembly (x86),"COBOL,",0.2406
C,Verilog,0.2404
C++,R,0.2402
Dart,Ruby,0.2393
F#,Ruby,0.239
Ada 2022,C++,0.2388
C++,PowerShell,0.2384
Crystal,Nim,0.238
D,PL/I,0.238
Mojo,OpenCL,0.2375
Apex,PowerShell,0.2374
Apex,Smalltalk (Pharo),0.2374
PHP,Python,0.2373
HiveQL (Apache Hive),Prolog,0.2372
Smalltalk (Pharo),Tcl,0.2369
ABAP,Smalltalk (Pharo),0.2369
Bash / Shell Script,Stata,0.2365
Ruby,TypeScript,0.2364
Nim,Rust,0.2363
Ada 2022,Python,0.2363
CUDA C/C++,Julia,0.2357
C,CUDA C/C++,0.2353
Java,Julia,0.2351
HiveQL (Apache Hive),Stata,0.2346
Bash / Shell Script,Python,0.2345
Perl,R,0.2343
C++,"COBOL,",0.2336
"COBOL,",GDScript,0.2336
ABAP,C++,0.2333
Haskell,Mojo,0.2333
GDScript,VHDL,0.2332
ABAP,GDScript,0.2332
D,Zig,0.233
D,MATLAB,0.233
"Delphi (Object Pascal,)",Mojo,0.233
Crystal,Groovy,0.2329
D,Python,0.2329
C++,VHDL,0.2328
C++,Crystal,0.2328
D,Stata,0.2327
Mojo,Zig,0.2326
MATLAB,Mojo,0.2326
MATLAB,PL/I,0.2325
Elm,Mojo,0.2323
Groovy,Scala,0.2323
GDScript,VBA,0.2322
C++,Visual Basic .NET,0.2322
C++,VBA,0.2322
GDScript,Visual Basic .NET,0.2322
GDScript,Kotlin,0.232
C++,Kotlin,0.232
GDScript,PowerShell,0.2318
Dart,GDScript,0.2317
Haskell,Racket,0.2315
Python,TypeScript,0.2313
PowerShell,TypeScript,0.2312
D,Smalltalk (Pharo),0.2311
Erlang,Haskell,0.2311
GDScript,Go,0.2307
Objective-C,OpenCL,0.2303
"COBOL,",Lua,0.2294
Bash / Shell Script,C++,0.2293
C++,"PL/SQL,",0.2292
D,Erlang,0.2288
C#,Mojo,0.2286
C,Solidity,0.2284
Elixir,F#,0.2281
Lua,Perl,0.2281
APL,Forth,0.2269
GAMS,MATLAB,0.2269
Elixir,Java,0.2267
PowerShell,Rust,0.2264
Java,Objective-C,0.2262
C,NATURAL,0.226
GraphQL,SAS,0.226
C,C#,0.2258
Nim,Python,0.2257
Objective-C,VBA,0.225
Haskell,Smalltalk (Pharo),0.2245
C,Dart,0.2242
Perl,Racket,0.2235
Rexx,VBA,0.2231
C++,NATURAL,0.2226
Mojo,Stata,0.2224
Erlang,VHDL,0.2221
C++,Scala,0.2221
GDScript,Scala,0.222
Mojo,Smalltalk (Pharo),0.222
F#,Python,0.222
Scala,Stata,0.2219
F#,PowerShell,0.2218
Clojure,D,0.2216
Perl,Scheme,0.2215
GDScript,Julia,0.2215
Erlang,Mojo,0.2214
Kotlin,Ruby,0.2214
Ada 2022,"CommonLisp,",0.2214
Perl,Python,0.2214
GDScript,Rust,0.2213
C,Forth,0.2212
GraphQL,Q (kdb+),0.2209
"CommonLisp,",Zig,0.2203
D,Q (kdb+),0.2201
MQL5,PowerShell,0.22
Objective-C,Scala,0.2198
PL/I,Stata,0.2196
OpenCL,Python,0.2194
C,Rust,0.2193
D,SystemVerilog,0.2188
GDScript,OpenCL,0.2188
C++,"PL/pgSQL,",0.2188
Mojo,SystemVerilog,0.2188
"CommonLisp,",VBA,0.2186
D,SAS,0.2185
F#,Stata,0.2184
C++,Wolfram Language,0.2184
C#,Groovy,0.2181
CFML (ColdFusion),PowerShell,0.218
Elm,Scheme,0.2176
Go,Lua,0.2175
Bash / Shell Script,Smalltalk (Pharo),0.2174
C++,OCaml,0.2171
PowerShell,Solidity,0.2169
C,X++,0.2169
"COBOL,",Objective-C,0.2165
Elixir,GDScript,0.2163
D,Perl,0.216
D,VBA,0.2159
D,Visual Basic .NET,0.2159
C++,Go,0.2159
Go,Mojo,0.2158
C++,SAS,0.2158
D,Elixir,0.2156
Mojo,VBA,0.2155
Mojo,Visual Basic .NET,0.2155
C,Go,0.2149
"COBOL,",R,0.2148
CUDA C/C++,Objective-C,0.2147
MQL5,SAS,0.2147
C++,PL/I,0.2146
RPG,SAS,0.2145
MATLAB,NATURAL,0.2144
Forth,Racket,0.214
CFML (ColdFusion),Ruby,0.214
ABAP,Stata,0.2132
Q (kdb+),Scala,0.2126
GDScript,TypeScript,0.2125
APL,Mojo,0.2125
C++,TypeScript,0.2125
Assembly (x86),Forth,0.2125
APL,D,0.2125
OCaml,Stata,0.212
Groovy,Tcl,0.2119
"CommonLisp,",GDScript,0.2119
C++,F#,0.2118
F#,GDScript,0.2118
GDScript,R,0.2116
GDScript,Wolfram Language,0.2112
Scheme,Tcl,0.2112
Ruby,Swift,0.211
GDScript,Java,0.211
C,Swift,0.2107
Clojure,Elm,0.2105
Lua,Scala,0.2095
Mojo,Verilog,0.2091
AWK,PowerShell,0.209
Python,Scala,0.2084
Forth,Stata,0.2084
Lua,NATURAL,0.2083
APL,GAMS,0.208
Elm,Python,0.2079
F#,Nim,0.2076
Objective-C,PHP,0.2074
CFML (ColdFusion),Objective-C,0.2072
Nim,Perl,0.2071
Dart,Nim,0.2069
"PL/pgSQL,",R,0.2069
Assembly (x86),Verilog,0.2066
Nim,PL/I,0.2066
Forth,Nim,0.2065
Python,SystemVerilog,0.2062
GDScript,Racket,0.2062
Java,Ruby,0.2061
Objective-C,Swift,0.206
Mojo,RPG,0.2056
Groovy,Objective-C,0.2056
"CommonLisp,",Perl,0.2055
"CommonLisp,",Forth,0.2049
ABAP,Lua,0.2047
Groovy,Rexx,0.2045
MQL5,Nim,0.2044
Clojure,Java,0.2041
"CommonLisp,",Haskell,0.2041
Groovy,Perl,0.204
C#,GDScript,0.2036
Haskell,R,0.2035
"CommonLisp,",Tcl,0.2035
D,LabVIEW,0.2034
Kotlin,Lua,0.2032
Nim,Tcl,0.2031
Ruby,Scala,0.2031
Forth,Scheme,0.203
Dart,Lua,0.2029
Objective-C,Perl,0.2027
ABAP,MATLAB,0.2025
Elixir,Rust,0.2024
Lua,OpenCL,0.2024
Haxe,Lua,0.2024
Ruby,Rust,0.2024
C++,LabVIEW,0.202
C++,Haskell,0.2019
Groovy,VBA,0.2017
"Delphi (Object Pascal,)",Smalltalk (Pharo),0.2015
Haxe,Smalltalk (Pharo),0.2013
Groovy,Rust,0.2011
AWK,Lua,0.2008
Ada 2022,Scheme,0.2007
Nim,Scala,0.2007
Forth,PowerShell,0.2005
C++,Stata,0.2003
LabVIEW,Stata,0.2002
C,CFML (ColdFusion),0.1999
D,Prolog,0.1998
C++,Clojure,0.1997
Stata,X++,0.1993
C,OCaml,0.1992
D,"SQL,",0.199
Rexx,Visual Basic .NET,0.1989
Assembly (x86),VHDL,0.1988
C++,Prolog,0.1987
Erlang,Forth,0.1986
C++,Scheme,0.1986
C++,Elm,0.1985
PowerShell,VBA,0.1985
Kotlin,Objective-C,0.1983
"CommonLisp,",Java,0.1983
Groovy,TypeScript,0.1982
C++,"SQL,",0.198
NATURAL,R,0.1976
Clojure,Haskell,0.1975
Clojure,Rust,0.1975
F#,SAS,0.1973
Crystal,Wolfram Language,0.1973
Smalltalk (Pharo),SystemVerilog,0.1972
Groovy,JavaScript,0.1969
Elm,Erlang,0.1969
C++,Erlang,0.1967
"CommonLisp,",Rust,0.1966
Dart,Scheme,0.1965
C,VHDL,0.1963
Haxe,Racket,0.1962
Assembly (x86),Bash / Shell Script,0.1961
Objective-C,Tcl,0.196
Bash / Shell Script,PowerShell,0.1959
"CommonLisp,",Elm,0.1957
Dart,Wolfram Language,0.1957
Java,PowerShell,0.1956
Nim,TypeScript,0.1956
C,Haxe,0.1951
Erlang,Rust,0.1951
F#,Lua,0.195
Elixir,Solidity,0.1949
Smalltalk (Pharo),Solidity,0.1948
NATURAL,Nim,0.1945
Go,Objective-C,0.1941
Elixir,Tcl,0.194
SAS,Scala,0.1937
Objective-C,Zig,0.1937
D,RPG,0.1932
PowerShell,Visual Basic .NET,0.193
Erlang,Verilog,0.193
GDScript,Objective-C,0.1929
C++,RPG,0.1927
Elixir,Scala,0.1926
Clojure,NATURAL,0.1923
Nim,Zig,0.192
D,GAMS,0.1918
ABAP,R,0.1918
GDScript,Haskell,0.1917
"CommonLisp,",F#,0.1915
D,VHDL,0.1914
Python,Rust,0.1914
C++,GAMS,0.1914
Groovy,Kotlin,0.1913
GAMS,Mojo,0.1913
HCL (Terraform),SAS,0.1913
GAMS,GDScript,0.1913
"COBOL,",PowerShell,0.1913
Smalltalk (Pharo),VBA,0.1913
GDScript,Stata,0.1912
MQL5,Ruby,0.1912
D,HCL (Terraform),0.1911
F#,Scheme,0.1911
D,HiveQL (Apache Hive),0.1911
GDScript,Zig,0.191
ABAP,PowerShell,0.191
D,GraphQL,0.191
Mojo,VHDL,0.191
Clojure,GDScript,0.191
HCL (Terraform),Prolog,0.191
Mojo,SAS,0.191
GDScript,SAS,0.191
C++,MATLAB,0.191
CUDA C/C++,GDScript,0.1909
GDScript,MATLAB,0.1909
Python,Tcl,0.1909
Haxe,Nim,0.1909
Ada 2022,Stata,0.1908
GDScript,HiveQL (Apache Hive),0.1908
GDScript,HCL (Terraform),0.1908
HCL (Terraform),Q (kdb+),0.1908
C++,HCL (Terraform),0.1908
C++,HiveQL (Apache Hive),0.1908
Forth,Python,0.1908
GraphQL,Prolog,0.1908
GDScript,Scheme,0.1907
GDScript,Prolog,0.1907
HiveQL (Apache Hive),Mojo,0.1907
C++,GraphQL,0.1907
Mojo,Prolog,0.1907
HCL (Terraform),Mojo,0.1907
